project_id,project_name,state,district,mp_name,project_type,sanctioned_amount,released_amount,utilized_amount,completion_percentage,sanction_date,start_date,expected_completion_date,actual_completion_date,latitude,longitude,contractor,agency,status,synthetic_scenario,ground_truth_anomaly,financial_progress_ratio,progress_gap,planned_duration_days
P00015,Street Lighting Project 0015,Maharashtra,Pune,MP_060,Street Lighting,637000.0,539000.0,539000.0,100.0,2025-07-25,2025-08-04,2026-02-05,2026-02-12,18.454521,73.864367,Contractor_009,Agency_12,Completed,normal,0,0.846,-15.4,195
P00016,Community Hall Project 0016,Kerala,Kozhikode,MP_284,Community Hall,3425000.0,2373000.0,2034000.0,26.854633489174,2025-12-06,2025-12-16,2026-09-27,,11.356374,75.87822,Contractor_032,Agency_01,In Progress,progress_mismatch,1,0.594,32.5,295
P00017,Sports Facility Project 0017,Karnataka,Mysuru,MP_286,Sports Facility,2751000.0,2440000.0,2323000.0,75.5,2026-04-23,2026-05-03,2026-08-29,,12.269754,76.710372,Contractor_025,Agency_08,Delayed,normal,0,0.844,8.9,128
P00018,Health Facility Project 0018,Rajasthan,Jaipur,MP_458,Health Facility,2050000.0,1992000.0,762000.0,41.9,2025-09-26,2025-10-06,2026-01-16,,26.990481,75.859019,Contractor_044,Agency_18,In Progress,normal,0,0.372,-4.7,112
P00019,School Building Project 0019,Telangana,Hyderabad,MP_008,School Building,4998000.0,4935000.0,3209000.0,71.9,2024-09-20,2024-09-30,2025-10-23,,17.359118,78.550482,Contractor_059,Agency_03,Delayed,normal,0,0.642,-7.7,398
P00020,Sports Facility Project 0020,Karnataka,Belagavi,MP_407,Sports Facility,2037000.0,1303000.0,1303000.0,64.6,2025-08-13,2025-08-23,2025-12-08,,15.829519,74.482656,Contractor_005,Agency_08,In Progress,normal,0,0.64,-0.6,117
P00021,Road Project 0021,Gujarat,Surat,MP_014,Road,2258000.0,2213000.0,1746000.0,68.6,2025-02-19,2025-03-01,2025-10-31,,21.264829,72.754102,Contractor_044,Agency_03,In Progress,normal,0,0.773,8.7,254
P00022,Road Project 0022,West Bengal,Howrah,MP_432,Road,2111000.0,2047000.0,1373000.0,65.7,2026-04-01,2026-04-11,2027-01-25,,22.537956,88.334842,Contractor_016,Agency_16,In Progress,normal,0,0.65,-0.7,299
P00023,Community Hall Project 0023,Tamil Nadu,Chennai,MP_206,Community Hall,2818000.0,2650000.0,2650000.0,100.0,2025-03-27,2025-04-06,2025-08-03,2025-11-07,12.965161,80.172522,Contractor_017,Agency_10,Completed,normal,0,0.94,-6.0,129
P00024,School Building Project 0024,Kerala,Ernakulam,MP_327,School Building,4857000.0,4456000.0,4225000.0,100.0,2024-07-20,2024-07-30,2025-03-23,2025-05-15,9.938299,76.390029,Contractor_056,Agency_03,Completed,normal,0,0.87,-13.0,246
P00025,Street Lighting Project 0025,Gujarat,Rajkot,MP_031,Street Lighting,642000.0,397000.0,230000.0,41.8,2024-05-20,2024-05-30,2025-04-08,,22.299737,70.824979,Contractor_031,Agency_14,In Progress,normal,0,0.358,-6.0,323
P00026,Health Facility Project 0026,Rajasthan,Jodhpur,MP_100,Health Facility,3018000.0,2848000.0,1462000.0,56.1,2024-09-27,2024-10-07,2025-06-06,,26.275744,73.080618,Contractor_057,Agency_09,Delayed,normal,0,0.484,-7.7,252
P00027,Road Project 0027,Karnataka,Bengaluru Urban,MP_509,Road,1952000.0,1163000.0,1163000.0,98.2,2024-11-13,2024-11-23,2025-06-24,2025-06-24,12.936814,77.543862,Contractor_015,Agency_20,Completed,normal,0,0.596,-38.6,223
P00028,Street Lighting Project 0028,Maharashtra,Aurangabad,MP_283,Street Lighting,1071000.0,964000.0,755000.0,69.7,2025-10-24,2025-11-03,2026-05-08,,19.944756,75.43085,Contractor_042,Agency_13,Delayed,normal,0,0.705,0.8,196
P00029,Road Project 0029,Karnataka,Mysuru,MP_202,Road,1851000.0,1365000.0,1365000.0,100.0,2024-04-28,2024-05-08,2025-01-09,2025-01-25,12.340557,76.661362,Contractor_015,Agency_06,Completed,normal,0,0.737,-26.3,256
P00030,Street Lighting Project 0030,West Bengal,Malda,MP_359,Street Lighting,877000.0,612000.0,612000.0,81.7,2026-02-17,2026-02-27,2026-10-26,,24.901069,88.129996,Contractor_005,Agency_06,In Progress,normal,0,0.698,-11.9,251
P00031,Road Project 0031,Andhra Pradesh,Visakhapatnam,MP_053,Road,2329000.0,2183000.0,1772000.0,73.5,2024-06-21,2024-07-01,2025-04-16,,17.674136,83.264138,Contractor_044,Agency_03,Delayed,normal,0,0.761,2.6,299
P00032,School Building Project 0032,Gujarat,Rajkot,MP_140,School Building,4172000.0,3764000.0,2678000.0,56.6,2025-11-11,2025-11-21,2026-03-10,,22.205023,70.68829,Contractor_011,Agency_04,In Progress,normal,0,0.642,7.6,119
P00033,Road Project 0033,Andhra Pradesh,Visakhapatnam,MP_271,Road,1825000.0,1433000.0,1433000.0,73.6,2025-05-01,2025-05-11,2026-01-16,,17.772268,83.317073,Contractor_048,Agency_03,In Progress,normal,0,0.785,4.9,260
P00034,Drinking Water Project 0034,West Bengal,Kolkata,MP_495,Drinking Water,1337000.0,1201000.0,1142000.0,89.9,2025-07-13,2025-07-23,2026-06-11,,22.552029,88.387299,Contractor_032,Agency_07,In Progress,normal,0,0.854,-4.5,333
P00035,Sports Facility Project 0035,Maharashtra,Pune,MP_305,Sports Facility,2853000.0,2131000.0,2112000.0,69.2,2024-05-05,2024-05-15,2024-09-30,,18.602134,73.80064,Contractor_009,Agency_08,In Progress,normal,0,0.74,4.8,148
P00036,Road Project 0036,Odisha,Sambalpur,MP_068,Road,2893000.0,1745000.0,1745000.0,100.0,2025-09-02,2025-09-12,2026-01-10,2026-05-13,21.421397,84.030814,Contractor_006,Agency_10,Completed,normal,0,0.603,-39.7,130
P00037,Drinking Water Project 0037,West Bengal,Malda,MP_430,Drinking Water,1417000.0,1061000.0,1061000.0,81.7,2024-09-08,2024-09-18,2025-08-07,,25.111784,88.189093,Contractor_042,Agency_06,In Progress,normal,0,0.749,-6.8,333
P00038,Road Project 0038,West Bengal,Malda,MP_494,Road,2998000.0,2547000.0,1973000.0,75.0,2024-03-31,2024-04-10,2025-02-08,,25.092756,88.238291,Contractor_052,Agency_16,In Progress,normal,0,0.658,-9.2,314
P00039,Road Project 0039,Rajasthan,Jaipur,MP_334,Road,2244000.0,1271000.0,1271000.0,69.4,2026-02-13,2026-02-23,2027-02-08,,26.983367,75.872292,Contractor_015,Agency_02,In Progress,normal,0,0.566,-12.8,360
P00040,Sports Facility Project 0040,Odisha,Sambalpur,MP_111,Sports Facility,2476000.0,2140000.0,2134000.0,100.0,2026-02-27,2026-03-09,2026-10-25,2027-02-11,21.430097,83.99753,Contractor_027,Agency_04,Completed,normal,0,0.862,-13.8,240
P00041,Road Project 0041,Rajasthan,Udaipur,MP_030,Road,1396000.0,1214000.0,1214000.0,100.0,2024-06-13,2024-06-23,2025-02-26,2025-02-26,24.494831,73.603749,Contractor_028,Agency_15,Completed,geo,1,0.87,-13.0,258
P00042,Community Hall Project 0042,Tamil Nadu,Chennai,MP_351,Community Hall,1551000.0,1537000.0,970000.0,57.6,2024-03-18,2024-03-28,2024-09-07,,13.074209,80.178501,Contractor_033,Agency_07,In Progress,normal,0,0.625,4.9,173
P00043,Drinking Water Project 0043,Tamil Nadu,Madurai,MP_223,Drinking Water,1798000.0,1750000.0,1450000.0,80.4,2025-08-17,2025-08-27,2026-06-30,,9.839105,78.134735,Contractor_057,Agency_06,Delayed,normal,0,0.806,0.2,317
P00044,Street Lighting Project 0044,Telangana,Warangal,MP_120,Street Lighting,1033000.0,863000.0,793000.0,78.9,2024-12-29,2025-01-08,2025-12-31,,18.010432,79.533311,Contractor_018,Agency_09,In Progress,normal,0,0.768,-2.1,367
P00045,School Building Project 0045,Tamil Nadu,Coimbatore,MP_359,School Building,4076000.0,3280000.0,2684000.0,63.0,2024-07-10,2024-07-20,2025-04-19,,10.940425,76.94934,Contractor_012,Agency_09,In Progress,normal,0,0.658,2.8,283
P00046,Drinking Water Project 0046,Kerala,Thrissur,MP_277,Drinking Water,1525000.0,1344000.0,1271000.0,74.0,2024-11-02,2024-11-12,2025-11-07,,10.64012,76.171518,Contractor_032,Agency_17,In Progress,normal,0,0.833,9.3,370
P00047,Road Project 0047,Maharashtra,Nagpur,MP_184,Road,6508000.0,6508000.0,6132000.0,80.1,2024-04-08,2024-04-18,2025-01-09,,21.052254,79.169017,Contractor_055,Agency_01,In Progress,financial,1,0.942,14.1,276
P00048,Street Lighting Project 0048,Tamil Nadu,Salem,MP_201,Street Lighting,747000.0,462000.0,372000.0,56.2,2025-12-29,2026-01-08,2026-09-12,,11.557107,78.097155,Contractor_026,Agency_07,In Progress,normal,0,0.498,-6.4,257
P00049,School Building Project 0049,West Bengal,Darjeeling,MP_289,School Building,3245000.0,2721000.0,2076000.0,70.1,2025-08-22,2025-09-01,2026-07-27,,27.034837,88.383808,Contractor_056,Agency_20,In Progress,normal,0,0.64,-6.1,339
P00050,School Building Project 0050,Gujarat,Vadodara,MP_045,School Building,5956000.0,3655000.0,3655000.0,100.0,2025-12-14,2025-12-24,2026-06-30,2026-08-11,22.419621,73.247804,Contractor_056,Agency_04,Completed,normal,0,0.614,-38.6,198
P00051,School Building Project 0051,Maharashtra,Pune,MP_323,School Building,1701000.0,1114000.0,1114000.0,86.0,2026-02-10,2026-02-20,2027-04-04,,18.45096,73.969077,Contractor_051,Agency_17,In Progress,normal,0,0.655,-20.5,418
P00052,Drinking Water Project 0052,Rajasthan,Udaipur,MP_297,Drinking Water,9336000.0,9336000.0,8459000.0,76.5,2025-07-05,2025-07-15,2026-06-05,,24.678758,73.681824,Contractor_032,Agency_16,In Progress,financial,1,0.906,14.1,335
P00053,Community Hall Project 0053,Odisha,Sambalpur,MP_275,Community Hall,3729000.0,3036000.0,1750000.0,49.3,2025-03-05,2025-03-15,2025-12-12,,21.550596,84.017941,Contractor_060,Agency_19,In Progress,normal,0,0.469,-2.4,282
P00054,Community Hall Project 0054,Odisha,Ganjam,MP_247,Community Hall,2017000.0,1283000.0,1248000.0,29.01591236771016,2024-05-30,2024-06-09,2025-04-12,,19.414938,84.749361,Contractor_025,Agency_06,In Progress,progress_mismatch,1,0.619,32.9,317
P00055,Drinking Water Project 0055,Andhra Pradesh,Visakhapatnam,MP_497,Drinking Water,2464000.0,2043000.0,2043000.0,99.5,2025-06-22,2025-07-02,2026-04-22,2026-04-22,17.717609,83.243386,Contractor_028,Agency_18,Completed,normal,0,0.829,-16.6,304
P00056,Drinking Water Project 0056,Telangana,Hyderabad,MP_542,Drinking Water,1380000.0,1102000.0,1102000.0,77.2,2025-09-14,2025-09-24,2026-01-17,,17.288414,78.574866,Contractor_041,Agency_07,In Progress,contractor_pattern,1,0.799,2.7,125
P00057,Community Hall Project 0057,Telangana,Hyderabad,MP_538,Community Hall,3332000.0,2567000.0,2567000.0,89.9,2024-02-04,2024-02-14,2024-08-19,,17.2973,78.576011,Contractor_014,Agency_12,In Progress,normal,0,0.77,-12.9,197
P00058,School Building Project 0058,Kerala,Kollam,MP_061,School Building,5202000.0,2948000.0,1570000.0,34.9,2026-02-24,2026-03-06,2026-09-23,,8.896215,76.666239,Contractor_001,Agency_18,In Progress,normal,0,0.302,-4.7,211
P00059,Community Hall Project 0059,West Bengal,Darjeeling,MP_003,Community Hall,1147000.0,752000.0,752000.0,100.0,2025-11-11,2025-11-21,2026-07-05,2026-08-23,27.034827,88.190162,Contractor_046,Agency_09,Completed,normal,0,0.656,-34.4,236
P00060,Street Lighting Project 0060,Odisha,Sambalpur,MP_165,Street Lighting,585000.0,546000.0,546000.0,100.0,2025-07-24,2025-08-03,2026-08-15,2026-08-15,21.457461,84.050067,Contractor_033,Agency_18,Completed,normal,0,0.933,-6.7,387
P00061,Street Lighting Project 0061,Rajasthan,Jaipur,MP_163,Street Lighting,710000.0,620000.0,620000.0,87.4,2024-03-13,2024-03-23,2025-01-07,,26.952511,75.756059,Contractor_031,Agency_20,In Progress,contractor_pattern,1,0.873,-0.1,300
P00062,Health Facility Project 0062,Rajasthan,Udaipur,MP_201,Health Facility,2569000.0,2471000.0,2287000.0,57.2438460972606,2025-05-20,2025-05-30,2025-09-20,2026-12-02,24.647578,73.672676,Contractor_019,Agency_10,Delayed,delay,1,0.89,31.8,123
P00063,Sports Facility Project 0063,Gujarat,Vadodara,MP_157,Sports Facility,1667000.0,1636000.0,1208000.0,71.6,2024-10-18,2024-10-28,2025-12-05,,22.274615,73.169294,Contractor_054,Agency_19,In Progress,normal,0,0.725,0.9,413
P00064,Sports Facility Project 0064,Maharashtra,Nashik,MP_178,Sports Facility,2059000.0,1738000.0,1069000.0,56.3,2025-09-22,2025-10-02,2026-03-29,,19.96246,73.904204,Contractor_055,Agency_12,In Progress,contractor_pattern,1,0.519,-4.4,188
P00065,Street Lighting Project 0065,Karnataka,Dharwad,MP_449,Street Lighting,826000.0,631000.0,631000.0,99.5,2025-10-28,2025-11-07,2026-04-20,2026-04-27,15.509727,75.101819,Contractor_011,Agency_12,Completed,normal,0,0.764,-23.1,174
P00066,Community Hall Project 0066,Maharashtra,Pune,MP_528,Community Hall,3866000.0,3018000.0,2216000.0,66.6,2025-07-08,2025-07-18,2026-08-11,,18.432943,73.847769,Contractor_035,Agency_02,In Progress,normal,0,0.573,-9.3,399
P00067,School Building Project 0067,Gujarat,Surat,MP_034,School Building,2907000.0,1666000.0,1384000.0,49.3,2025-03-14,2025-03-24,2026-02-23,,21.134828,72.732788,Contractor_030,Agency_08,In Progress,normal,0,0.476,-1.7,346
P00068,School Building Project 0068,Karnataka,Mysuru,MP_270,School Building,2004000.0,1880000.0,1441000.0,71.7,2024-01-02,2024-01-12,2024-06-30,,12.245539,76.735202,Contractor_029,Agency_17,In Progress,normal,0,0.719,0.2,180
P00069,School Building Project 0069,Kerala,Kozhikode,MP_182,School Building,2591000.0,1985000.0,1230000.0,51.7,2024-10-01,2024-10-11,2025-09-01,,11.27401,75.818991,Contractor_052,Agency_15,In Progress,normal,0,0.475,-4.2,335
P00070,Street Lighting Project 0070,Andhra Pradesh,Guntur,MP_018,Street Lighting,466000.0,449000.0,319000.0,75.5,2024-02-10,2024-02-20,2025-02-03,,16.388938,80.541518,Contractor_006,Agency_12,In Progress,normal,0,0.685,-7.0,359
P00071,Street Lighting Project 0071,Karnataka,Belagavi,MP_426,Street Lighting,306000.0,286000.0,275000.0,100.0,2025-12-23,2026-01-02,2027-01-12,2027-01-12,15.924069,74.52748,Contractor_034,Agency_10,Completed,normal,0,0.899,-10.1,385
P00072,Sports Facility Project 0072,Gujarat,Vadodara,MP_331,Sports Facility,1532000.0,1403000.0,1403000.0,90.8,2026-04-16,2026-04-26,2026-08-21,,22.291407,73.15021,Contractor_050,Agency_02,Delayed,normal,0,0.916,0.8,127
P00073,Health Facility Project 0073,Rajasthan,Jaipur,MP_407,Health Facility,1076000.0,672000.0,501000.0,43.8,2024-10-21,2024-10-31,2025-04-28,,26.903426,75.843381,Contractor_015,Agency_03,Delayed,normal,0,0.466,2.8,189
P00074,Street Lighting Project 0074,West Bengal,Kolkata,MP_010,Street Lighting,508000.0,395000.0,187000.0,43.3,2025-08-12,2025-08-22,2026-09-10,,22.647567,88.413212,Contractor_035,Agency_18,Delayed,normal,0,0.368,-6.5,394
P00075,Community Hall Project 0075,Telangana,Karimnagar,MP_163,Community Hall,2865000.0,1928000.0,1638000.0,55.6,2025-03-31,2025-04-10,2025-08-11,,18.364722,79.127616,Contractor_004,Agency_12,In Progress,normal,0,0.572,1.6,133
P00076,Sports Facility Project 0227 - Similar Work,Andhra Pradesh,Guntur,MP_373,Sports Facility,2015000.0,1662000.0,940000.0,48.2,2026-01-12,2026-01-22,2026-12-16,,16.218077,80.383805,Contractor_044,Agency_20,Delayed,duplicate,1,0.467,-1.5,338
P00077,Sports Facility Project 0077,Andhra Pradesh,Krishna,MP_052,Sports Facility,729000.0,662000.0,550000.0,77.6,2025-03-13,2025-03-23,2026-04-17,,16.540288,80.740459,Contractor_029,Agency_03,In Progress,normal,0,0.754,-2.2,400
P00078,School Building Project 0078,Maharashtra,Aurangabad,MP_259,School Building,2398000.0,2246000.0,1731000.0,79.0,2024-05-31,2024-06-10,2024-12-20,,19.966857,75.35888,Contractor_025,Agency_11,In Progress,normal,0,0.722,-6.8,203
P00079,Street Lighting Project 0079,Telangana,Nizamabad,MP_477,Street Lighting,1240000.0,1000000.0,656000.0,47.2,2025-09-13,2025-09-23,2026-07-30,,18.572748,78.068588,Contractor_026,Agency_15,In Progress,normal,0,0.529,5.7,320
P00080,School Building Project 0080,Tamil Nadu,Chennai,MP_176,School Building,22410000.0,22410000.0,18625000.0,69.9,2026-04-12,2026-04-22,2027-02-02,,13.097587,80.293506,Contractor_001,Agency_13,Delayed,financial,1,0.831,13.2,296
P00081,Drinking Water Project 0081,Kerala,Kollam,MP_090,Drinking Water,9772000.0,9772000.0,8372000.0,78.1,2025-02-01,2025-02-11,2025-08-19,,8.985214,76.634132,Contractor_044,Agency_05,In Progress,financial,1,0.857,7.6,199
P00082,Drinking Water Project 0082,Andhra Pradesh,Guntur,MP_288,Drinking Water,2262000.0,1527000.0,1527000.0,90.3,2025-10-02,2025-10-12,2026-06-07,,16.314086,80.502844,Contractor_001,Agency_10,In Progress,normal,0,0.675,-22.8,248
P00083,School Building Project 0083,Telangana,Karimnagar,MP_421,School Building,3730000.0,2237000.0,2237000.0,71.7,2025-07-08,2025-07-18,2026-01-17,,18.47556,79.046571,Contractor_037,Agency_20,In Progress,normal,0,0.6,-11.7,193
P00084,Street Lighting Project 0084,Maharashtra,Aurangabad,MP_466,Street Lighting,465000.0,319000.0,256000.0,62.5,2024-03-02,2024-03-12,2025-02-24,,19.803676,75.275371,Contractor_005,Agency_06,In Progress,normal,0,0.551,-7.4,359
P00085,Road Project 0085,Tamil Nadu,Chennai,MP_223,Road,2085000.0,1836000.0,1654000.0,82.5,2025-12-25,2026-01-04,2026-12-25,,13.057373,80.165079,Contractor_037,Agency_19,In Progress,normal,0,0.793,-3.2,365
P00086,School Building Project 0086,Tamil Nadu,Chennai,MP_228,School Building,1952000.0,1306000.0,853000.0,48.3,2026-01-31,2026-02-10,2026-12-01,,12.980344,80.233149,Contractor_009,Agency_18,In Progress,normal,0,0.437,-4.6,304
P00087,Health Facility Project 0087,Kerala,Kollam,MP_518,Health Facility,3123000.0,2067000.0,859000.0,30.6,2024-10-15,2024-10-25,2025-01-25,,8.967519,76.554126,Contractor_017,Agency_10,In Progress,normal,0,0.275,-3.1,102
P00088,Community Hall Project 0088,Tamil Nadu,Madurai,MP_266,Community Hall,2304000.0,1404000.0,1404000.0,72.1,2025-04-01,2025-04-11,2025-07-29,,9.868863,78.047817,Contractor_058,Agency_05,Delayed,normal,0,0.609,-11.2,119
P00089,Sports Facility Project 0089,Andhra Pradesh,Krishna,MP_256,Sports Facility,974000.0,938000.0,920000.0,91.5,2024-01-26,2024-02-05,2024-05-18,,16.471327,80.623422,Contractor_051,Agency_20,In Progress,normal,0,0.945,3.0,113
P00090,Health Facility Project 0090,Andhra Pradesh,Tirupati,MP_028,Health Facility,2875000.0,1779000.0,1779000.0,82.5,2025-09-22,2025-10-02,2026-06-23,,13.701868,79.378089,Contractor_004,Agency_16,Delayed,normal,0,0.619,-20.6,274
P00091,Community Hall Project 0333 - Similar Work,Odisha,Sambalpur,MP_547,Community Hall,4695000.0,3508000.0,2779000.0,69.6,2024-06-29,2024-07-09,2025-03-28,,21.456441,84.01011,Contractor_048,Agency_03,In Progress,duplicate,1,0.592,-10.4,272
P00092,Health Facility Project 0092,Tamil Nadu,Chennai,MP_254,Health Facility,2572000.0,2482000.0,1373000.0,50.0,2025-06-21,2025-07-01,2026-05-14,,13.069842,80.295995,Contractor_037,Agency_20,In Progress,normal,0,0.534,3.4,327
P00093,Drinking Water Project 0093,Kerala,Kozhikode,MP_491,Drinking Water,1856000.0,1727000.0,1570000.0,85.9,2024-05-30,2024-06-09,2024-12-01,,11.188965,75.68434,Contractor_022,Agency_19,In Progress,normal,0,0.846,-1.3,185
P00094,Health Facility Project 0094,West Bengal,Howrah,MP_499,Health Facility,2613000.0,2098000.0,2098000.0,88.9,2025-09-19,2025-09-29,2026-08-14,,22.664346,88.282782,Contractor_042,Agency_09,In Progress,normal,0,0.803,-8.6,329
P00095,School Building Project 0095,Tamil Nadu,Coimbatore,MP_011,School Building,1913000.0,1627000.0,1279000.0,63.8,2024-04-16,2024-04-26,2024-10-23,,11.039792,77.005472,Contractor_057,Agency_18,In Progress,normal,0,0.669,3.1,190
P00096,Sports Facility Project 0096,West Bengal,Kolkata,MP_372,Sports Facility,998000.0,672000.0,603000.0,64.6,2025-07-21,2025-07-31,2026-01-19,,22.601543,88.29492,Contractor_033,Agency_15,In Progress,normal,0,0.604,-4.2,182
P00097,Street Lighting Project 0097,West Bengal,Malda,MP_220,Street Lighting,606000.0,504000.0,504000.0,95.0,2025-06-02,2025-06-12,2026-02-18,2026-02-25,25.040185,88.09654,Contractor_043,Agency_18,Completed,geo,1,0.832,-11.8,261
P00098,Community Hall Project 0098,Gujarat,Vadodara,MP_270,Community Hall,3808000.0,3558000.0,3269000.0,20.92145193912863,2025-01-12,2025-01-22,2025-11-30,,22.252833,73.090854,Contractor_025,Agency_19,In Progress,progress_mismatch,1,0.858,64.9,322
P00099,Community Hall Project 0099,Gujarat,Rajkot,MP_265,Community Hall,3935000.0,3483000.0,2866000.0,67.5,2025-12-17,2025-12-27,2026-04-20,,22.264645,70.77388,Contractor_039,Agency_06,In Progress,normal,0,0.728,5.3,124
P00100,Drinking Water Project 0100,Maharashtra,Nagpur,MP_093,Drinking Water,1320000.0,856000.0,856000.0,62.0,2025-05-13,2025-05-23,2026-02-15,,21.201834,79.054546,Contractor_009,Agency_17,In Progress,normal,0,0.648,2.8,278
P00101,Street Lighting Project 0101,Karnataka,Bengaluru Urban,MP_085,Street Lighting,439000.0,319000.0,147000.0,37.0,2025-10-20,2025-10-30,2026-11-26,,12.948149,77.491048,Contractor_018,Agency_20,Delayed,normal,0,0.335,-3.5,402
P00102,Sports Facility Project 0102,Odisha,Khordha,MP_062,Sports Facility,2519000.0,1692000.0,1692000.0,74.4,2024-04-27,2024-05-07,2024-12-22,,20.241441,85.532277,Contractor_031,Agency_12,In Progress,normal,0,0.672,-7.2,239
P00103,Community Hall Project 0103,Karnataka,Belagavi,MP_401,Community Hall,2958000.0,2947000.0,2572000.0,99.0,2025-08-06,2025-08-16,2026-06-17,2026-09-13,15.95087,74.422804,Contractor_011,Agency_09,Completed,normal,0,0.87,-12.0,315
P00104,Community Hall Project 0104,Karnataka,Bengaluru Urban,MP_230,Community Hall,2060000.0,1863000.0,952000.0,21.591892852589325,2025-07-25,2025-08-04,2026-08-28,2027-11-12,13.037475,77.712027,Contractor_011,Agency_10,Delayed,delay,1,0.462,24.6,399
P00105,School Building Project 0105,Karnataka,Dharwad,MP_038,School Building,5456000.0,3237000.0,3237000.0,64.1,2024-05-02,2024-05-12,2024-10-31,,15.532116,74.888035,Contractor_052,Agency_16,In Progress,normal,0,0.593,-4.8,182
P00106,Community Hall Project 0106,Telangana,Hyderabad,MP_453,Community Hall,3469000.0,2170000.0,2170000.0,66.6,2025-07-08,2025-07-18,2026-01-02,,17.398218,78.479095,Contractor_026,Agency_08,In Progress,normal,0,0.626,-4.0,178
P00107,Street Lighting Project 0107,Kerala,Thrissur,MP_203,Street Lighting,1203000.0,935000.0,858000.0,72.1,2024-08-06,2024-08-16,2025-02-14,,10.458218,76.318375,Contractor_058,Agency_03,In Progress,normal,0,0.713,-0.8,192
P00108,Community Hall Project 0108,West Bengal,Kolkata,MP_076,Community Hall,1526000.0,1405000.0,1331000.0,76.0,2024-05-29,2024-06-08,2025-06-04,,22.56647,88.404329,Contractor_012,Agency_18,In Progress,normal,0,0.872,11.2,371
